"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/10/23 11:26 PM,"ggr-m","1097536936305029120","KuyaSky_88","1276106258685165568","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@KuyaSky_88 Just to share, the license fee to be paid is not that big talaga. In our case, for 20** alone our company paid 360k+ to filscap for more than 500 vehicles and almost 200 establishments na nagpplay ng opm songs. This is annual pa ha. ABS is a big company. They can't afford to pay?",,,0.0,"1667553806421475330"
6/10/23 11:26 PM,"K","1625899822590095361",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @MonsterVoter19: We are always and forever PROUD of you Boys!!! SB19 truly -BREAKING THE NORMS of the Philippine Music Industry !

Nagsi…",,,26.0,"1667553776109240320"
6/10/23 11:26 PM,"PAGTATAG ??","560197471",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @bianca_cavino17: It's not SB19's fault if their music label, @sonymusicph, wants to protect their rights as artists. Shows shld pay for…",,,250.0,"1667553767561265152"
6/10/23 11:25 PM,"?????","1245426091604324354","gianvester","1447491895899217920","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@gianvester @18cali4nia Bigyan mo na lang ako ng fillers.. opm po",,,0.0,"1667553666126217216"
6/10/23 11:25 PM,"Zane ni Pablo ??|?? ¹?³?³","990037135305596929",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @kokur00: 'SUPPORT OPM' MEANS SUPPORTING FILIPINO ARTISTS AND THEIR RIGHTS.",,,15.0,"1667553658408685568"
6/10/23 11:25 PM,"MomMahalima?","1445320292272730113",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @Dickolaidascope: I hope this will be cleared tomorrow po. Thank you, please. In the name of OPM and artistry. Please clear tomorrow and…",,,4.0,"1667553644861087744"
6/10/23 11:25 PM,"Jax ??????²? ??¹?","1388048209084174342","IamAsoy","3459040574","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@IamAsoy @jahsamaisan @SeKenyubemine I actually read that somewhere. related yunn sa pag-emerge ng Ppop eh. It says there na muntik nang mamatay ang industriya ng OPM dahil ayaw magbayad ng Pinoy to support our artist. eto ata ung time na pawala na ang CDs and transition na to digital platforms.",,,0.0,"1667553642818437120"
6/10/23 11:25 PM,"arlyn ??? | on vacay ??","1402259810620383232",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @bianca_cavino17: RESPECT LOCAL ARTISTS

That's the tweet.

When it comes to OPM artists' rights I will fight for it. This is afterall f…",,,42.0,"1667553624111878145"
6/10/23 11:25 PM,"Goku solos","1601723197468168192","Goldenzinhooo","1274546709754937344","pt","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","@Goldenzinhooo @peterjordan100 O problema é a fandom de Opm msm",,,0.0,"1667553604436123651"
6/10/23 11:25 PM,"TheRealAteChona ??","1472417531478482945",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @bianca_cavino17: RESPECT LOCAL ARTISTS

That's the tweet.

When it comes to OPM artists' rights I will fight for it. This is afterall f…",,,42.0,"1667553520793550848"
6/10/23 11:25 PM,"MarikyatSSS","1449716824044564487",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @Dickolaidascope: I hope this will be cleared tomorrow po. Thank you, please. In the name of OPM and artistry. Please clear tomorrow and…",,,4.0,"1667553510899195905"
6/10/23 11:25 PM,"Periphery","1427694553809649664",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @bianca_cavino17: It's not SB19's fault if their music label, @sonymusicph, wants to protect their rights as artists. Shows shld pay for…",,,250.0,"1667553462173978626"
6/10/23 11:24 PM,"K","1625899822590095361",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @pen_pearl: I think it’s time to educate Pinoy entertainment industry about music royalties. Hosts’ comments show their lack of knowledg…",,,77.0,"1667553435624030208"
6/10/23 11:24 PM,"aly","1338174070613921793",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @KingsofPpopSB19: Ayaw paawat ?

Top OPM Artist — #3
Top OPM Group — #2 

#SB19 @SB19Official  #SB19PAGTATAG?????????
#PagtatagWorldTour…",,,239.0,"1667553425633202176"
